,u,v,w,x,y,z
224,1.1897,-0.42369,-0.082124,100.64,17.5,5.713
225,0.87909,1.3288,-0.1053,102.24,17.5,5.713
226,0.56851,2.3804,-0.12847,103.85,17.5,5.713
227,-0.36322,1.6793,-0.12847,105.45,17.5,5.713
228,-4.7113,1.6793,-0.11688,107.05,17.5,5.713
229,-6.2642,2.3804,-0.20958,108.66,17.5,5.713
230,-7.196,1.6793,-0.1864,110.26,17.5,5.713
231,-8.1277,-1.4752,-0.047364,111.86,17.5,5.713
232,-8.1277,-2.8772,-0.012604,113.46,17.5,5.713
233,-7.5065,-3.5782,-0.047364,115.07,17.5,5.713
234,-6.8854,-2.8772,-0.093711,116.67,17.5,5.713
235,-6.2642,-2.8772,-0.058951,118.27,17.5,5.713
236,-5.6431,-4.9803,0.022156,119.87,17.5,5.713
237,-5.0219,-7.0833,0.13802,121.48,17.5,5.713
238,-4.4008,-10.238,0.27706,123.08,17.5,5.713
239,-2.5373,-13.392,0.39293,124.68,17.5,5.713
240,-0.6738,-12.691,0.335,126.29,17.5,5.713
241,2.1214,-7.4338,0.080089,127.89,17.5,5.713
242,3.0531,-2.8772,-0.14006,129.49,17.5,5.713
243,3.3637,-2.5267,-0.1864,131.09,17.5,5.713
244,3.6743,-4.6298,-0.15164,132.7,17.5,5.713
245,3.6743,-6.0318,0.23072,134.3,17.5,5.713
246,6.7801,1.6793,-0.58035,70.188,17.5,6.856
247,6.4695,2.3804,-0.14006,71.791,17.5,6.856
248,6.4695,3.0814,-0.12847,73.393,17.5,6.856
249,6.4695,3.4319,-0.1053,74.996,17.5,6.856
250,6.4695,3.4319,-0.082124,76.599,17.5,6.856
251,6.4695,3.0814,-0.070537,78.202,17.5,6.856
252,6.1589,2.3804,-0.070537,79.805,17.5,6.856
253,6.1589,1.6793,-0.1053,81.407,17.5,6.856
254,5.5378,0.97834,-0.11688,83.01,17.5,6.856
255,4.9166,0.62783,-0.1053,84.613,17.5,6.856
256,4.2955,0.27732,-0.070537,86.216,17.5,6.856
257,3.0531,0.27732,-0.058951,87.819,17.5,6.856
258,2.7426,0.62783,-0.047364,89.421,17.5,6.856
259,2.432,0.97834,-0.082124,91.024,17.5,6.856
260,1.1897,1.3288,-0.11688,92.627,17.5,6.856
261,0.87909,1.6793,-0.093711,94.23,17.5,6.856
262,0.87909,0.97834,-0.047364,95.833,17.5,6.856
263,2.1214,-0.073181,-0.024191,97.435,17.5,6.856
264,2.7426,0.27732,-0.058951,99.038,17.5,6.856
265,2.432,0.97834,-0.082124,100.64,17.5,6.856
266,1.5003,2.7309,-0.093711,102.24,17.5,6.856
267,1.5003,3.4319,-0.11688,103.85,17.5,6.856
268,2.1214,2.3804,-0.11688,105.45,17.5,6.856
269,-1.6055,2.3804,-0.12847,107.05,17.5,6.856
270,-3.1584,3.4319,-0.22116,108.66,17.5,6.856
271,-4.4008,2.0299,-0.19799,110.26,17.5,6.856
272,-5.0219,-1.8257,-0.058951,111.86,17.5,6.856
273,-4.7113,-3.9287,-0.012604,113.46,17.5,6.856
274,-3.7796,-4.6298,-0.070537,115.07,17.5,6.856
275,-3.469,-3.5782,-0.11688,116.67,17.5,6.856
276,-2.8479,-3.5782,-0.082124,118.27,17.5,6.856
277,-3.1584,-4.9803,0.010569,119.87,17.5,6.856
278,-2.8479,-7.4338,0.12644,121.48,17.5,6.856
279,-2.5373,-10.588,0.28865,123.08,17.5,6.856
280,-0.6738,-14.093,0.4161,124.68,17.5,6.856
281,1.5003,-12.691,0.35817,126.29,17.5,6.856
282,4.606,-6.3823,0.045329,127.89,17.5,6.856
283,6.1589,-1.8257,-0.20958,129.49,17.5,6.856
284,6.7801,-1.8257,-0.24434,131.09,17.5,6.856
285,7.4013,-3.5782,-0.22116,132.7,17.5,6.856
286,8.333,-5.3308,0.23072,134.3,17.5,6.856
287,10.507,2.7309,-0.63828,70.188,17.5,7.999
288,10.196,3.4319,-0.16323,71.791,17.5,7.999
289,9.5753,3.7824,-0.12847,73.393,17.5,7.999
290,9.5753,3.7824,-0.1053,74.996,17.5,7.999
291,9.2647,3.7824,-0.082124,76.599,17.5,7.999
292,9.2647,3.4319,-0.070537,78.202,17.5,7.999
293,9.2647,2.7309,-0.070537,79.805,17.5,7.999
294,8.9541,2.3804,-0.1053,81.407,17.5,7.999
295,8.333,1.6793,-0.11688,83.01,17.5,7.999
296,7.4013,1.3288,-0.1053,84.613,17.5,7.999
297,6.7801,0.97834,-0.082124,86.216,17.5,7.999
298,6.1589,0.97834,-0.070537,87.819,17.5,7.999
299,5.2272,1.3288,-0.058951,89.421,17.5,7.999
300,4.9166,1.3288,-0.093711,91.024,17.5,7.999
301,4.2955,1.6793,-0.11688,92.627,17.5,7.999
302,3.6743,2.0299,-0.082124,94.23,17.5,7.999
303,3.6743,1.6793,-0.024191,95.833,17.5,7.999
304,4.606,0.62783,-0.001017,97.435,17.5,7.999
305,4.9166,1.3288,-0.035777,99.038,17.5,7.999
306,4.606,2.3804,-0.058951,100.64,17.5,7.999
307,3.3637,4.1329,-0.082124,102.24,17.5,7.999
308,3.0531,4.8339,-0.093711,103.85,17.5,7.999
309,4.9166,3.4319,-0.11688,105.45,17.5,7.999
310,1.5003,3.0814,-0.14006,107.05,17.5,7.999
311,0.25794,4.1329,-0.23275,108.66,17.5,7.999
312,-0.98438,2.3804,-0.20958,110.26,17.5,7.999
313,-1.295,-2.1762,-0.058951,111.86,17.5,7.999
314,-0.98438,-4.9803,-0.024191,113.46,17.5,7.999
315,0.25794,-4.9803,-0.093711,115.07,17.5,7.999
316,0.56851,-3.9287,-0.16323,116.67,17.5,7.999
317,0.56851,-3.9287,-0.1053,118.27,17.5,7.999
318,0.25794,-5.3308,-0.012604,119.87,17.5,7.999
319,0.25794,-7.7843,0.12644,121.48,17.5,7.999
320,0.25794,-11.289,0.28865,123.08,17.5,7.999
321,1.5003,-14.794,0.45086,124.68,17.5,7.999
322,4.2955,-13.042,0.38134,126.29,17.5,7.999
323,7.0907,-6.0318,0.010569,127.89,17.5,7.999
324,8.9541,-1.1247,-0.2791,129.49,17.5,7.999
325,10.507,-0.77419,-0.32544,131.09,17.5,7.999
326,11.439,-2.5267,-0.2791,132.7,17.5,7.999
327,12.371,-4.6298,0.20754,134.3,17.5,7.999
328,14.234,3.7824,-0.69622,70.188,17.5,9.142
329,13.923,4.1329,-0.16323,71.791,17.5,9.142
330,13.302,4.1329,-0.12847,73.393,17.5,9.142
331,12.992,4.1329,-0.1053,74.996,17.5,9.142
332,12.681,4.1329,-0.070537,76.599,17.5,9.142
333,12.681,3.7824,-0.058951,78.202,17.5,9.142
334,12.371,3.0814,-0.058951,79.805,17.5,9.142
335,12.06,2.3804,-0.1053,81.407,17.5,9.142
336,11.439,2.0299,-0.11688,83.01,17.5,9.142
337,10.818,1.6793,-0.11688,84.613,17.5,9.142
338,9.5753,1.6793,-0.082124,86.216,17.5,9.142
339,8.9541,1.6793,-0.082124,87.819,17.5,9.142
340,8.6436,1.6793,-0.070537,89.421,17.5,9.142
341,8.333,1.6793,-0.093711,91.024,17.5,9.142
342,7.4013,2.0299,-0.11688,92.627,17.5,9.142
343,7.0907,2.0299,-0.082124,94.23,17.5,9.142
344,7.0907,1.6793,-0.001017,95.833,17.5,9.142
345,7.4013,0.97834,0.022156,97.435,17.5,9.142
346,7.0907,2.0299,-0.001017,99.038,17.5,9.142
347,6.7801,3.4319,-0.035777,100.64,17.5,9.142
348,5.2272,5.5349,-0.047364,102.24,17.5,9.142
349,5.2272,6.5864,-0.058951,103.85,17.5,9.142
350,7.4013,4.4834,-0.1053,105.45,17.5,9.142
351,4.9166,4.1329,-0.14006,107.05,17.5,9.142
352,3.6743,4.8339,-0.24434,108.66,17.5,9.142
353,2.7426,2.7309,-0.23275,110.26,17.5,9.142
354,2.432,-2.1762,-0.070537,111.86,17.5,9.142
355,2.7426,-5.3308,-0.035777,113.46,17.5,9.142
356,4.2955,-4.9803,-0.12847,115.07,17.5,9.142
357,4.606,-3.5782,-0.19799,116.67,17.5,9.142
358,4.606,-3.5782,-0.14006,118.27,17.5,9.142
359,3.6743,-5.6813,-0.024191,119.87,17.5,9.142
360,3.3637,-8.1348,0.11485,121.48,17.5,9.142
361,3.6743,-12.691,0.30024,123.08,17.5,9.142
362,5.2272,-16.196,0.47404,124.68,17.5,9.142
363,7.4013,-14.444,0.40452,126.29,17.5,9.142
364,10.196,-6.0318,-0.024191,127.89,17.5,9.142
365,12.371,-0.77419,-0.34862,129.49,17.5,9.142
366,13.923,-0.073181,-0.39496,131.09,17.5,9.142
367,14.855,-2.1762,-0.34862,132.7,17.5,9.142
368,16.097,-4.6298,0.17278,134.3,17.5,9.142
369,17.961,4.8339,-0.71939,70.188,17.5,10.285
370,17.029,5.1844,-0.17482,71.791,17.5,10.285
371,16.719,4.8339,-0.12847,73.393,17.5,10.285
372,16.408,4.4834,-0.093711,74.996,17.5,10.285
373,16.408,4.1329,-0.070537,76.599,17.5,10.285
374,16.408,3.7824,-0.058951,78.202,17.5,10.285
375,16.097,3.0814,-0.058951,79.805,17.5,10.285
376,16.097,2.7309,-0.093711,81.407,17.5,10.285
377,15.166,2.3804,-0.11688,83.01,17.5,10.285
378,14.545,2.3804,-0.1053,84.613,17.5,10.285
379,13.923,2.0299,-0.082124,86.216,17.5,10.285
380,12.681,2.0299,-0.093711,87.819,17.5,10.285
381,12.371,2.0299,-0.082124,89.421,17.5,10.285
382,12.06,2.0299,-0.1053,91.024,17.5,10.285
383,11.439,2.0299,-0.11688,92.627,17.5,10.285
384,10.818,2.0299,-0.070537,94.23,17.5,10.285
385,10.818,1.3288,0.022156,95.833,17.5,10.285
386,10.818,0.62783,0.056916,97.435,17.5,10.285
